;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos
37;2020;1;eleicao ordinaria;SP;3501103;61212;prefeito;MDB;15;250000974360;1582972;eleito;1522;2923;0.5207;0.25830000000000003
38;2020;1;eleicao ordinaria;SP;3501103;61212;prefeito;PP;11;250000964601;987122;nao eleito;634;2923;0.2169;0.25830000000000003
39;2020;1;eleicao ordinaria;SP;3501152;61220;prefeito;PSB;40;250000771473;1582295;nao eleito;2617;10417;0.25122;0.14227
40;2020;1;eleicao ordinaria;SP;3501152;61220;prefeito;PSD;55;250000653744;1427453;nao eleito;3159;10417;0.30325;0.14227
41;2020;1;eleicao ordinaria;SP;3501152;61220;prefeito;SOLIDARIEDADE;77;250000632946;570553;eleito;4641;10417;0.44552;0.14227
42;2020;1;eleicao ordinaria;SP;3501202;61239;prefeito;DEM;25;250001094111;1096795;eleito;1554;3032;0.51253;0.07124000000000003
43;2020;1;eleicao ordinaria;SP;3501202;61239;prefeito;PSDB;45;250001099423;1185103;nao eleito;1338;3032;0.44129;0.07124000000000003
44;2020;1;eleicao ordinaria;SP;3501202;61239;prefeito;REPUBLICANOS;10;250001164143;1346311;nao eleito;140;3032;0.04617;0.07124000000000003
45;2020;1;eleicao ordinaria;SP;3501301;61255;prefeito;PSDB;45;250001179862;47904;eleito;7764;12869;0.60331;0.20662000000000003
46;2020;1;eleicao ordinaria;SP;3501301;61255;prefeito;PV;43;250000998070;1253444;nao eleito;5105;12869;0.39669;0.20662000000000003
47;2020;1;eleicao ordinaria;SP;3501400;61271;prefeito;PSDB;45;250000669187;1299236;eleito;1361;2181;0.62403;0.24805999999999995
48;2020;1;eleicao ordinaria;SP;3501400;61271;prefeito;PV;43;250000637405;15600;nao eleito;820;2181;0.37597;0.24805999999999995
49;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;MDB;15;250001104070;681562;nao eleito;3916;110563;0.03542;0.09453
50;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PDT;12;250000800529;1580118;nao eleito;29562;110563;0.26738;0.09453
51;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PSD;55;250001103802;1769735;nao eleito;5426;110563;0.04908;0.09453
52;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PSDB;45;250000957588;1017859;nao eleito;19573;110563;0.17703;0.09453
53;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PSL;17;250000957267;732213;nao eleito;5187;110563;0.04691;0.09453
54;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PSOL;50;250000791991;1387001;nao eleito;1112;110563;0.01006;0.09453
55;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PT;13;250001194407;1046210;nao eleito;1476;110563;0.01335;0.09453
56;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;PV;43;250000800717;751788;eleito;40014;110563;0.36191;0.09453
57;2020;1;eleicao ordinaria;SP;3501608;61310;prefeito;SOLIDARIEDADE;77;250001103193;812619;nao eleito;4297;110563;0.03886;0.09453
58;2020;1;eleicao ordinaria;SP;3501707;61336;prefeito;PATRIOTA;51;250001123338;1087480;nao eleito;1063;18178;0.05848;0.08829000000000004
59;2020;1;eleicao ordinaria;SP;3501707;61336;prefeito;PODE;19;250001125333;1384061;nao eleito;2991;18178;0.16454;0.08829000000000004
60;2020;1;eleicao ordinaria;SP;3501707;61336;prefeito;PSDB;45;250001131900;506324;eleito;6687;18178;0.36786;0.08829000000000004
61;2020;1;eleicao ordinaria;SP;3501707;61336;prefeito;PT;13;250001129848;1426600;nao eleito;2355;18178;0.12955;0.08829000000000004
62;2020;1;eleicao ordinaria;SP;3501707;61336;prefeito;REPUBLICANOS;10;250001109660;1516513;nao eleito;5082;18178;0.27957;0.08829000000000004
63;2020;1;eleicao ordinaria;SP;3501806;61352;prefeito;CIDADANIA;23;250001045207;931565;eleito;1164;4103;0.28369;0.0014600000000000168
64;2020;1;eleicao ordinaria;SP;3501806;61352;prefeito;MDB;15;250001044690;1575464;nao eleito;1024;4103;0.24957;0.0014600000000000168
65;2020;1;eleicao ordinaria;SP;3501806;61352;prefeito;PATRIOTA;51;250001046466;1794375;nao eleito;1158;4103;0.28223;0.0014600000000000168
66;2020;1;eleicao ordinaria;SP;3501806;61352;prefeito;PSDB;45;250001046160;400780;nao eleito;757;4103;0.1845;0.0014600000000000168
