;ano;turno;tipo_eleicao;sigla_uf;id_municipio;id_municipio_tse;cargo;sigla_partido;numero_candidato;sequencial_candidato;id_candidato_bd;resultado;votos;total_votos;%votos;dif_votos;Aderencia;Governismo;RDD
451;2020;1;eleicao ordinaria;SP;3550704;71153;prefeito;PSDB;45;250001040292;1652770;eleito;23501;44949;0.52284;0.07276999999999995;92;0;1
452;2020;1;eleicao ordinaria;SP;3550704;71153;prefeito;MDB;15;250000889176;1453359;nao eleito;20230;44949;0.45007;0.07276999999999995;91;1;1
453;2020;1;eleicao ordinaria;SP;3506359;61280;prefeito;PSDB;45;250000891409;1653135;eleito;15137;28998;0.522;0.20615;92;0;1
454;2020;1;eleicao ordinaria;SP;3506359;61280;prefeito;PL;22;250001102167;1688323;nao eleito;9159;28998;0.31585;0.20615;90;1;1
455;2020;1;eleicao ordinaria;SP;3534203;67857;prefeito;PSDB;45;250001041743;1449053;eleito;2188;4192;0.52195;0.04390000000000005;92;0;1
456;2020;1;eleicao ordinaria;SP;3534203;67857;prefeito;DEM;25;250000888858;1785947;nao eleito;2004;4192;0.47805;0.04390000000000005;93;1;1
457;2020;1;eleicao ordinaria;SP;3505401;62073;prefeito;PSDB;45;250000677611;384728;eleito;2615;5022;0.52071;0.04142000000000001;92;0;1
458;2020;1;eleicao ordinaria;SP;3505401;62073;prefeito;DEM;25;250000637575;1439876;nao eleito;2407;5022;0.47929;0.04142000000000001;93;1;1
459;2020;1;eleicao ordinaria;SP;3553955;61042;prefeito;PSDB;45;250001000152;140979;eleito;4750;9164;0.51833;0.04407999999999995;92;0;1
460;2020;1;eleicao ordinaria;SP;3553955;61042;prefeito;PSD;55;250000809698;1699563;nao eleito;4346;9164;0.47425;0.04407999999999995;90;1;1
461;2020;1;eleicao ordinaria;SP;3508405;62693;prefeito;PSDB;45;250000666093;1259051;eleito;11976;23157;0.51717;0.18846000000000002;92;0;1
462;2020;1;eleicao ordinaria;SP;3508405;62693;prefeito;PSD;55;250000836865;1501980;nao eleito;7612;23157;0.32871;0.18846000000000002;90;1;1
463;2020;1;eleicao ordinaria;SP;3523701;65757;prefeito;PSDB;45;250000794223;1426310;eleito;1950;3779;0.51601;0.03201999999999999;92;0;1
464;2020;1;eleicao ordinaria;SP;3523701;65757;prefeito;PL;22;250000987108;1526824;nao eleito;1829;3779;0.48399;0.03201999999999999;90;1;1
465;2020;1;eleicao ordinaria;SP;3552551;61301;prefeito;PSDB;45;250001048635;1115588;eleito;1196;2322;0.51507;0.03014;92;0;1
466;2020;1;eleicao ordinaria;SP;3552551;61301;prefeito;PL;22;250000733265;1458262;nao eleito;1126;2322;0.48493;0.03014;90;1;1
467;2020;1;eleicao ordinaria;SP;3511607;63339;prefeito;PSDB;45;250000664245;1385179;eleito;4611;8955;0.51491;0.029819999999999958;92;0;1
468;2020;1;eleicao ordinaria;SP;3511607;63339;prefeito;DEM;25;250001111181;1385167;nao eleito;4344;8955;0.48509;0.029819999999999958;93;1;1
471;2020;1;eleicao ordinaria;SP;3545159;61441;prefeito;PSDB;45;250000768331;1776429;eleito;2595;5084;0.51042;0.15125;92;0;1
472;2020;1;eleicao ordinaria;SP;3545159;61441;prefeito;PTB;14;250000768260;262673;nao eleito;1826;5084;0.35917;0.15125;90;1;1
477;2020;1;eleicao ordinaria;SP;3537008;68411;prefeito;PSDB;45;250001135274;1718689;eleito;4588;9001;0.50972;0.019439999999999957;92;0;1
478;2020;1;eleicao ordinaria;SP;3537008;68411;prefeito;MDB;15;250000930802;1577655;nao eleito;4413;9001;0.49028;0.019439999999999957;91;1;1
479;2020;1;eleicao ordinaria;SP;3557105;72451;prefeito;PSDB;45;250001097691;404347;eleito;21184;41639;0.50875;0.14779000000000003;92;0;1
480;2020;1;eleicao ordinaria;SP;3557105;72451;prefeito;PTB;14;250000897998;22746;nao eleito;15030;41639;0.36096;0.14779000000000003;90;1;1
481;2020;1;eleicao ordinaria;SP;3548500;70718;prefeito;PSDB;45;250000767843;1342910;eleito;101268;199168;0.50846;0.32153;92;0;1
482;2020;1;eleicao ordinaria;SP;3548500;70718;prefeito;PSD;55;250000833419;958410;nao eleito;37231;199168;0.18693;0.32153;90;1;1
483;2020;1;eleicao ordinaria;SP;3536257;61824;prefeito;PSDB;45;250001164285;770827;eleito;1110;2189;0.50708;0.01415999999999995;92;0;1
484;2020;1;eleicao ordinaria;SP;3536257;61824;prefeito;PSD;55;250001099604;1593574;nao eleito;1079;2189;0.49292;0.01415999999999995;90;1;1
